sb_name,cooper,pomeroy,composite,injury_adjustment,adjusted_composite,rank
Norfolk St.,1228.006,1205.1439,1219.5181,,1219.5181,
Grambling,1191.01,1266.1202,1219.4731,,1219.4731,
Florida A&M,1203.436,1242.0929,1217.9727,,1217.9727,
Texas Southern,1200.546,1241.9988,1216.1105,,1216.1105,
New Haven,1231.921,1187.8573,1215.4343,,1215.4343,
Eastern Illinois,1215.9189,1209.9236,1213.6802,,1213.6802,
Manhattan,1220.186,1191.2523,1209.3197,,1209.3197,
Northern Arizona,1194.451,1232.0829,1208.6052,,1208.6052,
Alabama A&M,1170.37,1260.7065,1204.1218,,1204.1218,
Lafayette,1196.4561,1207.8689,1200.75,,1200.75,
Arkansas-Pine Bluff,1167.88,1245.3718,1197.0217,,1197.0217,
Stonehill,1215.978,1150.7834,1191.6482,,1191.6482,
Holy Cross,1186.594,1188.019,1187.13,,1187.13,
Alabama St.,1159.776,1216.1243,1181.0505,,1181.0505,
UTSA,1201.934,1138.8035,1178.2898,,1178.2898,
Fairleigh Dickinson,1178.0551,1169.2939,1174.746,,1174.746,
North Florida,1175.698,1172.4084,1174.4613,,1174.4613,
NJIT,1177.972,1166.4482,1173.6167,,1173.6167,
Bucknell,1168.717,1177.0094,1171.8195,,1171.8195,
Cal State Bakersfield,1137.6479,1203.381,1162.2732,,1162.2732,
Niagara,1165.036,1153.8964,1160.8629,,1160.8629,
The Citadel,1181.151,1120.1794,1158.545,,1158.545,
Army,1149.626,1147.7743,1148.9323,,1148.9323,
North Alabama,1157.5129,1134.4348,1148.8508,,1148.8508,
Canisius,1144.021,1127.709,1137.8984,,1137.8984,
Northern Illinois,1123.8979,1160.7279,1137.7429,,1137.7429,
Chicago St.,1141.55,1127.9136,1136.4122,,1136.4122,
Maine,1154.4041,1097.2362,1132.9291,,1132.9291,
Southern Indiana,1129.726,1133.0503,1130.9725,,1130.9725,
New Hampshire,1127.2371,1093.9839,1114.8798,,1114.8798,
Morgan St.,1131.219,1077.9928,1111.2496,,1111.2496,
North Carolina Central,1113.056,1102.1323,1108.983,,1108.983,
Jackson St.,1089.059,1136.317,1106.7916,,1106.7916,
Bryant,1126.058,1062.8151,1102.5157,,1102.5157,
Air Force,1077.958,1111.5684,1090.536,,1090.536,
Saint Francis (PA),1100.978,1070.8271,1089.6719,,1089.6719,
Louisiana Monroe,1067.379,1098.053,1078.8859,,1078.8859,
MD Eastern Shore,1056.097,1097.4332,1071.4615,,1071.4615,
South Carolina St.,1088.26,1038.0685,1069.2906,,1069.2906,
Binghamton,1095.5341,1019.1911,1066.9821,,1066.9821,
Rider,1077.7939,1031.7969,1060.5159,,1060.5159,
Alcorn St.,1025.844,1106.059,1056.1221,,1056.1221,
VMI,1062.4919,1004.8182,1040.7649,,1040.7649,
Gardner-Webb,1028.255,985.65833,1012.1482,,1012.1482,
Coppin St.,1003.972,957.80023,986.62115,,986.62115,
Kansas City,955.67877,998.37274,971.67279,,971.67279,
Delaware St.,950.81458,954.79138,952.30951,,952.30951,
Western Illinois,924.63129,950.34167,934.25952,,934.25952,
Mississippi Valley St.,800.22168,886.50909,832.62384,,832.62384,
